timestamp|sensor_id|temperature|pressure|status|error_code
2025-01-10 08:00:05|S101|25.3|10.1|OK|NULL
2025-01-10 08:05:10|S102|26.1|NULL|WARNING|E01
2025-01-10 08:10:00|S101|25.5|10.2|OK|NULL
2025-01-10 08:15:30|S103|NULL|9.9|ERROR|E05
2025-01-10 08:20:15|S102|25.8|10.0|OK|NULL
2025-01-10 08:25:00|S101|25.4|10.1|OK|NULL
2025-01-10 08:30:20|S104|27.0|10.3|OK|NULL
2025-01-10 08:35:05|S101|25.6|NULL|OK|NULL
2025-01-10 08:40:00|S103|24.9|9.8|WARNING|NULL
2025-01-10 08:45:10|S102|26.0|10.1|OK|NULL
2025-01-11 09:00:00|S104|27.2|10.4|ERROR|E03
2025-01-11 09:05:30|S101|25.7|10.2|OK|NULL
2025-01-11 09:10:00|S105|24.0|9.5|OK|NULL
2025-01-11 09:15:10|S101|25.8|10.3|OK|NULL
2025-01-11 09:20:20|S102|26.2|NULL|WARNING|E02
2025-01-11 09:25:00|S103|25.0|9.7|OK|NULL
2025-01-12 10:00:15|S104|NULL|10.5|ERROR|E04
2025-01-12 10:05:00|S105|24.1|9.6|OK|NULL
2025-01-12 10:10:05|S101|25.9|10.4|OK|NULL
2025-01-12 10:15:00|S102|26.3|10.2|OK|NULL
2025-01-12 10:20:10|S103|NULL|NULL|ERROR|E05
2025-01-13 11:00:00|S104|27.3|10.6|OK|NULL
2025-01-13 11:05:15|S105|24.2|9.7|WARNING|E01
2025-01-13 11:10:00|S101|26.0|10.5|OK|NULL
2025-01-13 11:15:20|S102|NULL|10.3|OK|NULL
2025-01-13 11:20:00|S103|25.1|9.9|OK|NULL
2025-01-14 08:30:10|S104|27.4|NULL|ERROR|E03
2025-01-14 08:35:00|S105|24.3|9.8|OK|NULL
2025-01-14 08:40:15|S101|26.1|10.6|OK|NULL
2025-01-14 08:45:00|S102|26.4|10.4|OK|NULL
2025-01-14 08:50:10|S103|25.2|10.0|WARNING|NULL
2025-01-15 09:00:00|S104|27.5|10.7|OK|NULL
2025-01-15 09:05:15|S105|NULL|9.9|ERROR|E02
2025-01-15 09:10:00|S101|26.2|10.7|OK|NULL
2025-01-15 09:15:20|S102|26.5|NULL|OK|NULL
2025-01-15 09:20:00|S103|25.3|10.1|OK|NULL
2025-01-16 10:00:10|S104|27.6|10.8|OK|NULL
2025-01-16 10:05:00|S105|24.5|10.0|WARNING|E04
2025-01-16 10:10:15|S101|26.3|10.8|OK|NULL
2025-01-16 10:15:00|S102|26.6|10.5|OK|NULL
